dps,name,star,element,weapon,str,amulets,condition,comment,
5887,Berserker,4*,shadow,sword,3880,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<last offense & hp70>,,attack:1114,force_strike:821,skill_1:2687,skill_2:0,skill_3:1263,team_buff:0
5323,_c_Berserker,4*,shadow,sword,3880,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<last offense & hp70>,,attack:999,force_strike:738,skill_1:2419,skill_2:0,skill_3:1165,team_buff:0
6887,Euden,4*,flame,sword,4027,[The_Shining_Overlord+Beautiful_Nothingness][Sakuya],<hp70>,,attack:1260,force_strike:575,skill_1:2840,skill_2:1125,skill_3:900,team_buff:185
6372,_c_Euden,4*,flame,sword,4027,[The_Shining_Overlord+Beautiful_Nothingness][Sakuya],!<hp70>,,attack:1163,force_strike:531,skill_1:2622,skill_2:1038,skill_3:831,team_buff:185
7071,Karl,4*,flame,sword,4000,[The_Shining_Overlord+Beautiful_Nothingness][Sakuya],<hp70>,,attack:1576,force_strike:719,skill_1:2863,skill_2:0,skill_3:1207,team_buff:704
6241,_c_Karl,4*,flame,sword,4000,[The_Shining_Overlord+Beautiful_Nothingness][Sakuya],!<hp70>,,attack:1370,force_strike:625,skill_1:2489,skill_2:0,skill_3:1050,team_buff:704
6641,Naveed,5*,flame,sword,4088,[The_Shining_Overlord+Jewels_of_the_Sun][Sakuya],<hp70>,,attack:1241,force_strike:482,skill_1:3779,skill_2:0,skill_3:1137,team_buff:0
6130,_c_Naveed,5*,flame,sword,4088,[The_Shining_Overlord+Jewels_of_the_Sun][Sakuya],!<hp70>,,attack:1146,force_strike:445,skill_1:3488,skill_2:0,skill_3:1050,team_buff:0
6670,Raemond,3*,light,sword,5257,[The_Shining_Overlord+Beautiful_Nothingness][Cupid],<hp70>,,attack:1882,force_strike:858,skill_1:2097,skill_2:1013,skill_3:818,team_buff:0
6278,_c_Raemond,3*,light,sword,5257,[The_Shining_Overlord+Beautiful_Nothingness][Cupid],!<hp70>,,attack:1771,force_strike:808,skill_1:1974,skill_2:953,skill_3:770,team_buff:0
7636,Rodrigo,3*,shadow,sword,3950,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70>,,attack:1515,force_strike:633,skill_1:2881,skill_2:1240,skill_3:1364,team_buff:0
6640,_c_Rodrigo,3*,shadow,sword,3950,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70>,,attack:1318,force_strike:551,skill_1:2506,skill_2:1079,skill_3:1186,team_buff:0
7897,Xander,5*,water,sword,4123,[The_Shining_Overlord+Jewels_of_the_Sun][Siren],<hp70>,c2+fs,attack:1062,force_strike:1181,skill_1:3178,skill_2:1433,skill_3:1042,team_buff:0
7289,_c_Xander,5*,water,sword,4123,[The_Shining_Overlord+Jewels_of_the_Sun][Siren],!<hp70>,c2+fs,attack:980,force_strike:1091,skill_1:2933,skill_2:1322,skill_3:962,team_buff:0
8062,Zardin,3*,water,sword,3983,[The_Shining_Overlord+Jewels_of_the_Sun][Siren],<hp100 & hp70>,,attack:1576,force_strike:719,skill_1:3229,skill_2:1453,skill_3:1083,team_buff:0
6910,_c_Zardin,3*,water,sword,3983,[The_Shining_Overlord+Jewels_of_the_Sun][Siren],!<hp100 & hp70>,,attack:1350,force_strike:616,skill_1:2767,skill_2:1245,skill_3:929,team_buff:0
7041,Aoi,3*,flame,blade,4216,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,,attack:2016,force_strike:0,skill_1:2923,skill_2:1315,skill_3:785,team_buff:0
6189,_c_Aoi,3*,flame,blade,4216,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,,attack:1772,force_strike:0,skill_1:2569,skill_2:1156,skill_3:690,team_buff:0
7047,Celliera,4*,water,blade,4095,[Resounding_Rendition+Jewels_of_the_Sun][Siren],<hp70>,,attack:2064,force_strike:0,skill_1:3356,skill_2:0,skill_3:1626,team_buff:0
5827,_c_Celliera,4*,water,blade,4095,[Resounding_Rendition+Jewels_of_the_Sun][Siren],!<hp70>,,attack:1706,force_strike:0,skill_1:2775,skill_2:0,skill_3:1344,team_buff:0
