-,60,_
6225,Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],<hit15>,,attack:2568,force_strike:374,skill_1:2321,skill_2:0,skill_3:846,team_buff:0,fs_boost:114
5274,_c_Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],!<hit15>,,attack:2190,force_strike:323,skill_1:1952,skill_2:0,skill_3:711,team_buff:0,fs_boost:96
-,60,k
6847,Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],<hit15>,,attack:2825,force_strike:411,skill_1:2553,skill_2:0,skill_3:930,team_buff:0,fs_boost:125
5802,_c_Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],!<hit15>,,attack:2409,force_strike:355,skill_1:2147,skill_2:0,skill_3:782,team_buff:0,fs_boost:105
-,60,r
6700,Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],<hit15>,,attack:2568,force_strike:374,skill_1:2669,skill_2:0,skill_3:973,team_buff:0,fs_boost:114
5674,_c_Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],!<hit15>,,attack:2190,force_strike:323,skill_1:2245,skill_2:0,skill_3:818,team_buff:0,fs_boost:96
-,60,kr
7370,Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],<hit15>,,attack:2825,force_strike:411,skill_1:2936,skill_2:0,skill_3:1070,team_buff:0,fs_boost:125
6241,_c_Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],!<hit15>,,attack:2409,force_strike:355,skill_1:2470,skill_2:0,skill_3:900,team_buff:0,fs_boost:105
-,60,d
6225,Vida,3*,shadow,dagger,3557,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][HDT2],<hit15>,,attack:2568,force_strike:374,skill_1:2321,skill_2:0,skill_3:846,team_buff:0,fs_boost:114
