-,sp,_
15120,Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],<0 resist>,92% burn uptime,attack:3130,force_strike:1155,skill_1:3625,skill_2:1653,skill_3:0,team_buff:498,s1_burn:1293,d_dshift:173,d_dx1:843,d_dx2:924,d_dx3:1132,d_ds:527,ds_burn:161
9531,_c_Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],!<0 resist>,,attack:2152,force_strike:794,skill_1:2500,skill_2:1121,skill_3:0,team_buff:498,s1_burn:0,d_dshift:119,d_dx1:576,d_dx2:631,d_dx3:776,d_ds:359,ds_burn:0
-,sp,k
16632,Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],<0 resist>,92% burn uptime,attack:3443,force_strike:1271,skill_1:3987,skill_2:1818,skill_3:0,team_buff:547,s1_burn:1423,d_dshift:190,d_dx1:928,d_dx2:1017,d_dx3:1246,d_ds:580,ds_burn:177
10484,_c_Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],!<0 resist>,,attack:2367,force_strike:874,skill_1:2750,skill_2:1233,skill_3:0,team_buff:547,s1_burn:0,d_dshift:131,d_dx1:634,d_dx2:694,d_dx3:854,d_ds:395,ds_burn:0
-,sp,r
16170,Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],<0 resist>,92% burn uptime,attack:3130,force_strike:1155,skill_1:4169,skill_2:1901,skill_3:0,team_buff:537,s1_burn:1487,d_dshift:173,d_dx1:843,d_dx2:924,d_dx3:1132,d_ds:527,ds_burn:185
10114,_c_Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],!<0 resist>,,attack:2152,force_strike:794,skill_1:2875,skill_2:1289,skill_3:0,team_buff:537,s1_burn:0,d_dshift:119,d_dx1:576,d_dx2:631,d_dx3:776,d_ds:359,ds_burn:0
-,sp,kr
17787,Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],<0 resist>,92% burn uptime,attack:3443,force_strike:1271,skill_1:4585,skill_2:2091,skill_3:0,team_buff:591,s1_burn:1636,d_dshift:190,d_dx1:928,d_dx2:1017,d_dx3:1246,d_ds:580,ds_burn:204
11126,_c_Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],!<0 resist>,,attack:2367,force_strike:874,skill_1:3163,skill_2:1418,skill_3:0,team_buff:591,s1_burn:0,d_dshift:131,d_dx1:634,d_dx2:694,d_dx3:854,d_ds:395,ds_burn:0
-,sp,d
16164,Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],<0 resist>,92% burn uptime,attack:3346,force_strike:1235,skill_1:3875,skill_2:1767,skill_3:0,team_buff:532,s1_burn:1382,d_dshift:185,d_dx1:902,d_dx2:988,d_dx3:1211,d_ds:563,ds_burn:172
10190,_c_Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],!<0 resist>,,attack:2301,force_strike:849,skill_1:2673,skill_2:1198,skill_3:0,team_buff:532,s1_burn:0,d_dshift:127,d_dx1:616,d_dx2:675,d_dx3:830,d_ds:384,ds_burn:0
-,sp,kd
17781,Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],<0 resist>,92% burn uptime,attack:3681,force_strike:1358,skill_1:4263,skill_2:1944,skill_3:0,team_buff:586,s1_burn:1521,d_dshift:204,d_dx1:992,d_dx2:1087,d_dx3:1332,d_ds:620,ds_burn:189
11209,_c_Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],!<0 resist>,,attack:2531,force_strike:934,skill_1:2940,skill_2:1318,skill_3:0,team_buff:586,s1_burn:0,d_dshift:140,d_dx1:677,d_dx2:742,d_dx3:913,d_ds:423,ds_burn:0
-,sp,b
15334,Euden,4*,flame,sword,4028,[The_Shining_Overlord+Elegant_Escort][Apollo][Agito],<0 resist>,92% burn uptime,attack:3088,force_strike:1140,skill_1:3874,skill_2:1649,skill_3:0,team_buff:533,s1_burn:1289,d_dshift:174,d_dx1:844,d_dx2:922,d_dx3:1131,d_ds:527,ds_burn:158
