-,60,_
6181,B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],<energy & hp70>,no s2,attack:2280,force_strike:0,skill_1:2653,skill_2:0,skill_3:1001,team_buff:93,s3_energized:151
4696,_c_B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],!<energy & hp70>,no s2,attack:2034,force_strike:0,skill_1:1864,skill_2:0,skill_3:703,team_buff:93
-,60,k
6181,B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],<energy & hp70>,no s2,attack:2280,force_strike:0,skill_1:2653,skill_2:0,skill_3:1001,team_buff:93,s3_energized:151
4696,_c_B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],!<energy & hp70>,no s2,attack:2034,force_strike:0,skill_1:1864,skill_2:0,skill_3:703,team_buff:93
-,60,r
6759,B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],<energy & hp70>,no s2,attack:2280,force_strike:0,skill_1:3051,skill_2:0,skill_3:1151,team_buff:101,s3_energized:174
5089,_c_B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],!<energy & hp70>,no s2,attack:2034,force_strike:0,skill_1:2144,skill_2:0,skill_3:809,team_buff:101
-,60,kr
6759,B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],<energy & hp70>,no s2,attack:2280,force_strike:0,skill_1:3051,skill_2:0,skill_3:1151,team_buff:101,s3_energized:174
5089,_c_B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],!<energy & hp70>,no s2,attack:2034,force_strike:0,skill_1:2144,skill_2:0,skill_3:809,team_buff:101
-,60,d
6585,B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],<energy & hp70>,no s2,attack:2430,force_strike:0,skill_1:2826,skill_2:0,skill_3:1066,team_buff:100,s3_energized:161
5020,_c_B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],!<energy & hp70>,no s2,attack:2174,force_strike:0,skill_1:1993,skill_2:0,skill_3:752,team_buff:100
-,60,kd
6585,B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],<energy & hp70>,no s2,attack:2430,force_strike:0,skill_1:2826,skill_2:0,skill_3:1066,team_buff:100,s3_energized:161
5020,_c_B_Zardin,5*,light,blade,5401,[Resounding_Rendition+Jewels_of_the_Sun][Cupid],!<energy & hp70>,no s2,attack:2174,force_strike:0,skill_1:1993,skill_2:0,skill_3:752,team_buff:100
-,60,b
6362,B_Zardin,5*,light,blade,5382,[Resounding_Rendition+Beautiful_Nothingness][Cupid],<energy & hp70>,no s2,attack:2347,force_strike:0,skill_1:2730,skill_2:0,skill_3:1030,team_buff:98,s3_energized:156
4843,_c_B_Zardin,5*,light,blade,5382,[Resounding_Rendition+Beautiful_Nothingness][Cupid],!<energy & hp70>,no s2,attack:2097,force_strike:0,skill_1:1921,skill_2:0,skill_3:725,team_buff:98
-,60,kb
6362,B_Zardin,5*,light,blade,5382,[Resounding_Rendition+Beautiful_Nothingness][Cupid],<energy & hp70>,no s2,attack:2347,force_strike:0,skill_1:2730,skill_2:0,skill_3:1030,team_buff:98,s3_energized:156
