-,sp,_
13402,Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],<0 resist>,73% burn uptime,attack:2385,force_strike:888,skill_1:5027,skill_2:2006,skill_3:0,team_buff:418,s1_burn:982,d_dshift:111,d_dx1:116,d_dx2:126,d_dx3:219,d_ds:1119
10596,_c_Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],!<0 resist>,,attack:1989,force_strike:744,skill_1:4349,skill_2:1612,skill_3:0,team_buff:418,s1_burn:0,d_dshift:95,d_dx1:98,d_dx2:107,d_dx3:186,d_ds:994
-,sp,k
14742,Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],<0 resist>,73% burn uptime,attack:2624,force_strike:977,skill_1:5530,skill_2:2206,skill_3:0,team_buff:460,s1_burn:1080,d_dshift:122,d_dx1:127,d_dx2:138,d_dx3:241,d_ds:1231
11656,_c_Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],!<0 resist>,,attack:2188,force_strike:818,skill_1:4784,skill_2:1773,skill_3:0,team_buff:460,s1_burn:0,d_dshift:104,d_dx1:108,d_dx2:117,d_dx3:205,d_ds:1094
-,sp,r
14805,Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],<0 resist>,73% burn uptime,attack:2385,force_strike:888,skill_1:5781,skill_2:2307,skill_3:0,team_buff:452,s1_burn:1129,d_dshift:111,d_dx1:116,d_dx2:126,d_dx3:219,d_ds:1287
11673,_c_Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],!<0 resist>,,attack:1989,force_strike:744,skill_1:5002,skill_2:1853,skill_3:0,team_buff:452,s1_burn:0,d_dshift:95,d_dx1:98,d_dx2:107,d_dx3:186,d_ds:1144
-,sp,kr
16286,Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],<0 resist>,73% burn uptime,attack:2624,force_strike:977,skill_1:6359,skill_2:2537,skill_3:0,team_buff:497,s1_burn:1242,d_dshift:122,d_dx1:127,d_dx2:138,d_dx3:241,d_ds:1415
12841,_c_Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],!<0 resist>,,attack:2188,force_strike:818,skill_1:5502,skill_2:2039,skill_3:0,team_buff:497,s1_burn:0,d_dshift:104,d_dx1:108,d_dx2:117,d_dx3:205,d_ds:1258
-,sp,d
14327,Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],<0 resist>,73% burn uptime,attack:2550,force_strike:950,skill_1:5374,skill_2:2144,skill_3:0,team_buff:448,s1_burn:1050,d_dshift:119,d_dx1:124,d_dx2:134,d_dx3:234,d_ds:1196
11328,_c_Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],!<0 resist>,,attack:2126,force_strike:795,skill_1:4649,skill_2:1723,skill_3:0,team_buff:448,s1_burn:0,d_dshift:101,d_dx1:105,d_dx2:114,d_dx3:199,d_ds:1063
-,sp,kd
15760,Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],<0 resist>,73% burn uptime,attack:2805,force_strike:1045,skill_1:5911,skill_2:2359,skill_3:0,team_buff:492,s1_burn:1155,d_dshift:131,d_dx1:136,d_dx2:148,d_dx3:258,d_ds:1316
12461,_c_Euden,4*,flame,sword,4018,[The_Shining_Overlord+Elegant_Escort][Sakuya][Agito],!<0 resist>,,attack:2339,force_strike:875,skill_1:5114,skill_2:1895,skill_3:0,team_buff:492,s1_burn:0,d_dshift:111,d_dx1:116,d_dx2:126,d_dx3:219,d_ds:1169
-,sp,b
