-,sp,_
14046,Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(13840~14131),<energy & hp1 & hit15>,1hp;,attack:2781,force_strike:63,skill_1:4427,skill_2:0,skill_3:1744,team_buff:0,s1_crisis:4427,s1_crisis_energized:320,s1_energized:126,s3_energized:155
6164,_c_Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(6164~6164),!<energy & hp1 & hit15>,1hp;,attack:1876,force_strike:40,skill_1:3140,skill_2:0,skill_3:1107,team_buff:0
-,sp,k
14046,Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(13840~14131),<energy & hp1 & hit15>,1hp;,attack:2781,force_strike:63,skill_1:4427,skill_2:0,skill_3:1744,team_buff:0,s1_crisis:4427,s1_crisis_energized:320,s1_energized:126,s3_energized:155
6164,_c_Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(6164~6164),!<energy & hp1 & hit15>,1hp;,attack:1876,force_strike:40,skill_1:3140,skill_2:0,skill_3:1107,team_buff:0
-,sp,r
15728,Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(15489~15824),<energy & hp1 & hit15>,1hp;,attack:2781,force_strike:63,skill_1:5091,skill_2:0,skill_3:2005,team_buff:0,s1_crisis:5091,s1_crisis_energized:369,s1_energized:142,s3_energized:181
6801,_c_Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(6801~6801),!<energy & hp1 & hit15>,1hp;,attack:1876,force_strike:40,skill_1:3611,skill_2:0,skill_3:1273,team_buff:0
-,sp,kr
15728,Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(15489~15824),<energy & hp1 & hit15>,1hp;,attack:2781,force_strike:63,skill_1:5091,skill_2:0,skill_3:2005,team_buff:0,s1_crisis:5091,s1_crisis_energized:369,s1_energized:142,s3_energized:181
6801,_c_Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(6801~6801),!<energy & hp1 & hit15>,1hp;,attack:1876,force_strike:40,skill_1:3611,skill_2:0,skill_3:1273,team_buff:0
-,sp,d
15017,Natalie,5*,shadow,blade,4744,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi];dpsrange:(14803~15106),<energy & hp1 & hit15>,1hp;,attack:2973,force_strike:67,skill_1:4733,skill_2:0,skill_3:1864,team_buff:0,s1_crisis:4733,s1_crisis_energized:342,s3_energized:173,s1_energized:129
