-,60,_
5904,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:1798,force_strike:141,skill_1:1721,skill_2:0,skill_3:575,team_buff:0,fs_alt:0,fs_alt_hit1:555,fs_alt_hit2:555,fs_alt_hit3:555
4650,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1254,force_strike:216,skill_1:1572,skill_2:0,skill_3:525,team_buff:0,fs_alt:0,fs_alt_hit1:541,fs_alt_hit2:541
-,60,k
6495,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:1978,force_strike:155,skill_1:1893,skill_2:0,skill_3:633,team_buff:0,fs_alt:0,fs_alt_hit1:611,fs_alt_hit2:611,fs_alt_hit3:611
5115,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1379,force_strike:237,skill_1:1729,skill_2:0,skill_3:577,team_buff:0,fs_alt:0,fs_alt_hit1:595,fs_alt_hit2:595
-,60,r
6249,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:1798,force_strike:141,skill_1:1979,skill_2:0,skill_3:662,team_buff:0,fs_alt:0,fs_alt_hit1:555,fs_alt_hit2:555,fs_alt_hit3:555
4965,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1254,force_strike:216,skill_1:1808,skill_2:0,skill_3:604,team_buff:0,fs_alt:0,fs_alt_hit1:541,fs_alt_hit2:541
-,60,kr
6874,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:1978,force_strike:155,skill_1:2177,skill_2:0,skill_3:728,team_buff:0,fs_alt:0,fs_alt_hit1:611,fs_alt_hit2:611,fs_alt_hit3:611
5461,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1379,force_strike:237,skill_1:1989,skill_2:0,skill_3:664,team_buff:0,fs_alt:0,fs_alt_hit1:595,fs_alt_hit2:595
-,60,d
6402,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:1951,force_strike:154,skill_1:1867,skill_2:0,skill_3:623,team_buff:0,fs_alt:0,fs_alt_hit1:602,fs_alt_hit2:602,fs_alt_hit3:602
5015,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1354,force_strike:234,skill_1:1695,skill_2:0,skill_3:565,team_buff:0,fs_alt:0,fs_alt_hit1:582,fs_alt_hit2:582
-,60,kd
7042,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:2146,force_strike:169,skill_1:2053,skill_2:0,skill_3:686,team_buff:0,fs_alt:0,fs_alt_hit1:662,fs_alt_hit2:662,fs_alt_hit3:662
5516,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1489,force_strike:257,skill_1:1865,skill_2:0,skill_3:622,team_buff:0,fs_alt:0,fs_alt_hit1:641,fs_alt_hit2:641
-,60,b
6317,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:1656,force_strike:139,skill_1:1982,skill_2:0,skill_3:567,team_buff:0,fs_alt:0,fs_alt_hit1:657,fs_alt_hit2:657,fs_alt_hit3:657
4841,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1104,force_strike:216,skill_1:1841,skill_2:0,skill_3:526,team_buff:0,fs_alt:0,fs_alt_hit1:575,fs_alt_hit2:575
-,60,kb
6949,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:1822,force_strike:153,skill_1:2181,skill_2:0,skill_3:623,team_buff:0,fs_alt:0,fs_alt_hit1:722,fs_alt_hit2:722,fs_alt_hit3:722
5325,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1215,force_strike:238,skill_1:2025,skill_2:0,skill_3:579,team_buff:0,fs_alt:0,fs_alt_hit1:633,fs_alt_hit2:633
-,60,rd
6776,Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],<huge hitbox eneny & hp70>,c2+fs during s2,attack:1951,force_strike:154,skill_1:2147,skill_2:0,skill_3:717,team_buff:0,fs_alt:0,fs_alt_hit1:602,fs_alt_hit2:602,fs_alt_hit3:602
5354,_c_Kuhai,4*,wind,sword,3592,[The_Lurker_in_the_Woods+Resounding_Rendition][Zephyr][HDT2],!<huge hitbox eneny & hp70>,c2+fs during s2,attack:1354,force_strike:234,skill_1:1949,skill_2:0,skill_3:650,team_buff:0,fs_alt:0,fs_alt_hit1:582,fs_alt_hit2:582
-,60,krd
