-,60,_
9909,Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],<hp70 & 0 resist>,,attack:2870,force_strike:0,skill_1:3595,skill_2:1642,skill_3:765,team_buff:0,s1_burn:750,s2_burn:284
6788,_c_Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],!<hp70 & 0 resist>,,attack:2202,force_strike:0,skill_1:2776,skill_2:1249,skill_3:559,team_buff:0,s1_burn:0,s2_burn:0
-,60,k
9909,Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],<hp70 & 0 resist>,,attack:2870,force_strike:0,skill_1:3595,skill_2:1642,skill_3:765,team_buff:0,s1_burn:750,s2_burn:284
6788,_c_Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],!<hp70 & 0 resist>,,attack:2202,force_strike:0,skill_1:2776,skill_2:1249,skill_3:559,team_buff:0,s1_burn:0,s2_burn:0
-,60,r
10965,Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],<hp70 & 0 resist>,,attack:2870,force_strike:0,skill_1:4135,skill_2:1889,skill_3:880,team_buff:0,s1_burn:863,s2_burn:327
7475,_c_Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],!<hp70 & 0 resist>,,attack:2202,force_strike:0,skill_1:3192,skill_2:1436,skill_3:643,team_buff:0,s1_burn:0,s2_burn:0
-,60,kr
10965,Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],<hp70 & 0 resist>,,attack:2870,force_strike:0,skill_1:4135,skill_2:1889,skill_3:880,team_buff:0,s1_burn:863,s2_burn:327
7475,_c_Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],!<hp70 & 0 resist>,,attack:2202,force_strike:0,skill_1:3192,skill_2:1436,skill_3:643,team_buff:0,s1_burn:0,s2_burn:0
-,60,d
10557,Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],<hp70 & 0 resist>,,attack:3058,force_strike:0,skill_1:3830,skill_2:1750,skill_3:815,team_buff:0,s1_burn:799,s2_burn:302
7256,_c_Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],!<hp70 & 0 resist>,,attack:2354,force_strike:0,skill_1:2968,skill_2:1335,skill_3:598,team_buff:0,s1_burn:0,s2_burn:0
-,60,kd
10557,Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],<hp70 & 0 resist>,,attack:3058,force_strike:0,skill_1:3830,skill_2:1750,skill_3:815,team_buff:0,s1_burn:799,s2_burn:302
7256,_c_Aoi,3*,flame,blade,5007,[Resounding_Rendition+Elegant_Escort][Sakuya],!<hp70 & 0 resist>,,attack:2354,force_strike:0,skill_1:2968,skill_2:1335,skill_3:598,team_buff:0,s1_burn:0,s2_burn:0
-,60,b
