-,60,_
5826,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2483,force_strike:0,skill_1:1953,skill_2:0,skill_3:1071,team_buff:0,team_energy:114,s1_energized:201
4719,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2107,force_strike:0,skill_1:1659,skill_2:0,skill_3:952,team_buff:0
-,60,k
6408,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2732,force_strike:0,skill_1:2149,skill_2:0,skill_3:1179,team_buff:0,team_energy:126,s1_energized:221
5191,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2318,force_strike:0,skill_1:1825,skill_2:0,skill_3:1048,team_buff:0
-,60,r
5826,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2483,force_strike:0,skill_1:1953,skill_2:0,skill_3:1071,team_buff:0,team_energy:114,s1_energized:201
4719,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2107,force_strike:0,skill_1:1659,skill_2:0,skill_3:952,team_buff:0
-,60,kr
6408,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2732,force_strike:0,skill_1:2149,skill_2:0,skill_3:1179,team_buff:0,team_energy:126,s1_energized:221
5191,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2318,force_strike:0,skill_1:1825,skill_2:0,skill_3:1048,team_buff:0
-,60,d
6228,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2655,force_strike:0,skill_1:2088,skill_2:0,skill_3:1145,team_buff:0,team_energy:123,s1_energized:215
5045,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2252,force_strike:0,skill_1:1774,skill_2:0,skill_3:1018,team_buff:0
-,60,kd
6851,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2920,force_strike:0,skill_1:2297,skill_2:0,skill_3:1260,team_buff:0,team_energy:135,s1_energized:237
5550,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2478,force_strike:0,skill_1:1951,skill_2:0,skill_3:1120,team_buff:0
-,60,b
5439,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2270,force_strike:0,skill_1:2338,skill_2:0,skill_3:485,team_buff:0,team_energy:143,s1_energized:201
4380,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:1946,force_strike:0,skill_1:2001,skill_2:0,skill_3:431,team_buff:0
-,60,kb
5983,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2497,force_strike:0,skill_1:2572,skill_2:0,skill_3:534,team_buff:0,team_energy:158,s1_energized:221
4818,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2141,force_strike:0,skill_1:2201,skill_2:0,skill_3:475,team_buff:0
-,60,rd
6228,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2655,force_strike:0,skill_1:2088,skill_2:0,skill_3:1145,team_buff:0,team_energy:123,s1_energized:215
5045,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2252,force_strike:0,skill_1:1774,skill_2:0,skill_3:1018,team_buff:0
-,60,krd
6851,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2920,force_strike:0,skill_1:2297,skill_2:0,skill_3:1260,team_buff:0,team_energy:135,s1_energized:237
5550,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2478,force_strike:0,skill_1:1951,skill_2:0,skill_3:1120,team_buff:0
-,60,rb
5439,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2270,force_strike:0,skill_1:2338,skill_2:0,skill_3:485,team_buff:0,team_energy:143,s1_energized:201
4380,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:1946,force_strike:0,skill_1:2001,skill_2:0,skill_3:431,team_buff:0
-,60,krb
5983,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2497,force_strike:0,skill_1:2572,skill_2:0,skill_3:534,team_buff:0,team_energy:158,s1_energized:221
4818,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2141,force_strike:0,skill_1:2201,skill_2:0,skill_3:475,team_buff:0
-,60,db
5815,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2427,force_strike:0,skill_1:2499,skill_2:0,skill_3:519,team_buff:0,team_energy:153,s1_energized:214
4682,_c_Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],!<energy & hit15>,,attack:2081,force_strike:0,skill_1:2139,skill_2:0,skill_3:461,team_buff:0
-,60,kdb
6396,Lucretia,5*,light,wand,5458,[Candy_Couriers+Flash_of_Genius][Cupid],<energy & hit15>,,attack:2670,force_strike:0,skill_1:2749,skill_2:0,skill_3:571,team_buff:0,team_energy:169,s1_energized:236
