-,60,_
10078,Dragonyule_Malora,5*,light,axe,3954,[Kung_Fu_Masters+Flower_in_the_Fray][Cupid][HDT2],<buff all team>,c4fsf c5 c4 s1,attack:3456,force_strike:0,skill_1:1866,skill_2:1345,skill_3:0,team_buff:2335,s2_boost:1076
4994,_c_Dragonyule_Malora,5*,light,axe,3954,[Kung_Fu_Masters+Flower_in_the_Fray][Cupid][HDT2],!<buff all team>,c4fsf c5 c4 s1,attack:3339,force_strike:0,skill_1:1654,skill_2:0,skill_3:0,team_buff:0
-,60,k
10852,Dragonyule_Malora,5*,light,axe,3954,[Kung_Fu_Masters+Flower_in_the_Fray][Cupid][HDT2],<buff all team>,c4fsf c5 c4 s1,attack:3801,force_strike:0,skill_1:2052,skill_2:1479,skill_3:0,team_buff:2335,s2_boost:1183
5493,_c_Dragonyule_Malora,5*,light,axe,3954,[Kung_Fu_Masters+Flower_in_the_Fray][Cupid][HDT2],!<buff all team>,c4fsf c5 c4 s1,attack:3673,force_strike:0,skill_1:1819,skill_2:0,skill_3:0,team_buff:0
-,60,r
10721,Dragonyule_Malora,5*,light,axe,3954,[Kung_Fu_Masters+Flower_in_the_Fray][Cupid][HDT2],<buff all team>,c4fsf c5 c4 s1,attack:3456,force_strike:0,skill_1:2145,skill_2:1546,skill_3:0,team_buff:2335,s2_boost:1237
5242,_c_Dragonyule_Malora,5*,light,axe,3954,[Kung_Fu_Masters+Flower_in_the_Fray][Cupid][HDT2],!<buff all team>,c4fsf c5 c4 s1,attack:3339,force_strike:0,skill_1:1902,skill_2:0,skill_3:0,team_buff:0
-,60,kr
11560,Dragonyule_Malora,5*,light,axe,3954,[Kung_Fu_Masters+Flower_in_the_Fray][Cupid][HDT2],<buff all team>,c4fsf c5 c4 s1,attack:3801,force_strike:0,skill_1:2360,skill_2:1701,skill_3:0,team_buff:2335,s2_boost:1361
5766,_c_Dragonyule_Malora,5*,light,axe,3954,[Kung_Fu_Masters+Flower_in_the_Fray][Cupid][HDT2],!<buff all team>,c4fsf c5 c4 s1,attack:3673,force_strike:0,skill_1:2092,skill_2:0,skill_3:0,team_buff:0
-,60,d
