-,60,_
5968,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1567,force_strike:246,skill_1:1672,skill_2:908,skill_3:1096,team_buff:279,team_energy:107,s1_energized:90
4339,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1159,force_strike:182,skill_1:1235,skill_2:673,skill_3:809,team_buff:279
-,60,k
6565,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1724,force_strike:271,skill_1:1839,skill_2:999,skill_3:1205,team_buff:307,team_energy:117,s1_energized:99
4773,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1274,force_strike:200,skill_1:1359,skill_2:740,skill_3:890,team_buff:307
-,60,r
6572,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1567,force_strike:246,skill_1:1923,skill_2:1045,skill_3:1260,team_buff:301,team_energy:123,s1_energized:104
4769,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1159,force_strike:182,skill_1:1420,skill_2:774,skill_3:931,team_buff:301
-,60,kr
7229,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1724,force_strike:271,skill_1:2115,skill_2:1149,skill_3:1386,team_buff:331,team_energy:135,s1_energized:114
5246,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1274,force_strike:200,skill_1:1563,skill_2:852,skill_3:1024,team_buff:331
-,60,d
5968,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1567,force_strike:246,skill_1:1672,skill_2:908,skill_3:1096,team_buff:279,team_energy:107,s1_energized:90
4339,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1159,force_strike:182,skill_1:1235,skill_2:673,skill_3:809,team_buff:279
-,60,kd
6565,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1724,force_strike:271,skill_1:1839,skill_2:999,skill_3:1205,team_buff:307,team_energy:117,s1_energized:99
4773,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1274,force_strike:200,skill_1:1359,skill_2:740,skill_3:890,team_buff:307
-,60,b
6302,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1458,force_strike:281,skill_1:2089,skill_2:1327,skill_3:573,team_buff:347,team_energy:133,s1_energized:90
4583,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1078,force_strike:207,skill_1:1543,skill_2:982,skill_3:423,team_buff:347
-,60,kb
6932,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1604,force_strike:309,skill_1:2297,skill_2:1460,skill_3:631,team_buff:382,team_energy:147,s1_energized:99
5042,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1186,force_strike:228,skill_1:1697,skill_2:1081,skill_3:466,team_buff:382
-,60,rd
6572,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1567,force_strike:246,skill_1:1923,skill_2:1045,skill_3:1260,team_buff:301,team_energy:123,s1_energized:104
4769,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1159,force_strike:182,skill_1:1420,skill_2:774,skill_3:931,team_buff:301
-,60,krd
7229,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1724,force_strike:271,skill_1:2115,skill_2:1149,skill_3:1386,team_buff:331,team_energy:135,s1_energized:114
5246,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1274,force_strike:200,skill_1:1563,skill_2:852,skill_3:1024,team_buff:331
-,60,rb
6962,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1458,force_strike:281,skill_1:2402,skill_2:1526,skill_3:659,team_buff:375,team_energy:153,s1_energized:104
5054,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1078,force_strike:207,skill_1:1774,skill_2:1130,skill_3:487,team_buff:375
-,60,krb
7658,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1604,force_strike:309,skill_1:2642,skill_2:1679,skill_3:725,team_buff:412,team_energy:169,s1_energized:114
5559,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1186,force_strike:228,skill_1:1952,skill_2:1243,skill_3:536,team_buff:412
-,60,db
6302,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1458,force_strike:281,skill_1:2089,skill_2:1327,skill_3:573,team_buff:347,team_energy:133,s1_energized:90
4583,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1078,force_strike:207,skill_1:1543,skill_2:982,skill_3:423,team_buff:347
-,60,kdb
6932,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1604,force_strike:309,skill_1:2297,skill_2:1460,skill_3:631,team_buff:382,team_energy:147,s1_energized:99
5042,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1186,force_strike:228,skill_1:1697,skill_2:1081,skill_3:466,team_buff:382
-,60,rdb
6962,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1458,force_strike:281,skill_1:2402,skill_2:1526,skill_3:659,team_buff:375,team_energy:153,s1_energized:104
5054,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1078,force_strike:207,skill_1:1774,skill_2:1130,skill_3:487,team_buff:375
-,60,krdb
7658,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1604,force_strike:309,skill_1:2642,skill_2:1679,skill_3:725,team_buff:412,team_energy:169,s1_energized:114
5559,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1186,force_strike:228,skill_1:1952,skill_2:1243,skill_3:536,team_buff:412
-,120,_
6256,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1498,force_strike:270,skill_1:1675,skill_2:1120,skill_3:1098,team_buff:333,team_energy:107,s1_energized:91,s3_energized:62
4519,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1107,force_strike:199,skill_1:1237,skill_2:830,skill_3:811,team_buff:333
-,120,k
6881,D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],<energy & always connect hits & hp70 & hit15>,,attack:1647,force_strike:297,skill_1:1843,skill_2:1233,skill_3:1207,team_buff:366,team_energy:117,s1_energized:100,s3_energized:68
4971,_c_D_Cleo,5*,water,dagger,3958,[Twinfold_Bonds+The_Prince_of_Dragonyule][Siren],!<energy & always connect hits & hp70 & hit15>,,attack:1218,force_strike:219,skill_1:1361,skill_2:913,skill_3:892,team_buff:366
-,120,r
