-,60,_
9222,Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],<hit15>,,attack:3190,force_strike:0,skill_1:3694,skill_2:0,skill_3:1579,team_buff:758
6846,_c_Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],!<hit15>,,attack:2334,force_strike:0,skill_1:2639,skill_2:0,skill_3:1113,team_buff:758
-,60,k
10144,Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],<hit15>,,attack:3509,force_strike:0,skill_1:4063,skill_2:0,skill_3:1737,team_buff:834
7530,_c_Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],!<hit15>,,attack:2568,force_strike:0,skill_1:2903,skill_2:0,skill_3:1225,team_buff:834
-,60,r
9222,Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],<hit15>,,attack:3190,force_strike:0,skill_1:3694,skill_2:0,skill_3:1579,team_buff:758
6846,_c_Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],!<hit15>,,attack:2334,force_strike:0,skill_1:2639,skill_2:0,skill_3:1113,team_buff:758
-,60,kr
10144,Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],<hit15>,,attack:3509,force_strike:0,skill_1:4063,skill_2:0,skill_3:1737,team_buff:834
7530,_c_Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],!<hit15>,,attack:2568,force_strike:0,skill_1:2903,skill_2:0,skill_3:1225,team_buff:834
-,60,d
9955,Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],<hit15>,,attack:3439,force_strike:0,skill_1:3982,skill_2:0,skill_3:1721,team_buff:811
7429,_c_Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],!<hit15>,,attack:2530,force_strike:0,skill_1:2862,skill_2:0,skill_3:1224,team_buff:811
-,60,kd
10951,Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],<hit15>,,attack:3783,force_strike:0,skill_1:4380,skill_2:0,skill_3:1894,team_buff:892
8172,_c_Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],!<hit15>,,attack:2783,force_strike:0,skill_1:3149,skill_2:0,skill_3:1346,team_buff:892
-,60,b
9260,Xiao_Lei,3*,light,wand,3762,[Candy_Couriers+Primal_Crisis][Daikokuten][HDT2],<hit15>,,attack:3190,force_strike:0,skill_1:3694,skill_2:0,skill_3:1579,team_buff:796
