-,sp,_
15959,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:1709,force_strike:0,skill_1:7788,skill_2:3241,skill_3:769,team_buff:0,always_poisoned_poison:0,d_ss:59,d_skill:638,d_autos:1498,s_dragon_poison:255
9317,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1197,force_strike:0,skill_1:3772,skill_2:1730,skill_3:520,team_buff:0,d_ss:13,d_skill:604,d_autos:1419,s_dragon_poison:57
-,sp,k
17555,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:1880,force_strike:0,skill_1:8567,skill_2:3565,skill_3:846,team_buff:0,always_poisoned_poison:0,d_ss:65,d_skill:701,d_autos:1648,s_dragon_poison:280
10249,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1317,force_strike:0,skill_1:4149,skill_2:1903,skill_3:572,team_buff:0,d_ss:14,d_skill:665,d_autos:1561,s_dragon_poison:63
-,sp,r
17863,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:1709,force_strike:0,skill_1:8957,skill_2:3727,skill_3:884,team_buff:0,always_poisoned_poison:0,d_ss:59,d_skill:733,d_autos:1498,s_dragon_poison:293
10320,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1197,force_strike:0,skill_1:4338,skill_2:1990,skill_3:599,team_buff:0,d_ss:13,d_skill:695,d_autos:1419,s_dragon_poison:66
-,sp,kr
19650,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:1880,force_strike:0,skill_1:9852,skill_2:4100,skill_3:973,team_buff:0,always_poisoned_poison:0,d_ss:65,d_skill:807,d_autos:1648,s_dragon_poison:322
11352,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1317,force_strike:0,skill_1:4772,skill_2:2189,skill_3:658,team_buff:0,d_ss:14,d_skill:764,d_autos:1561,s_dragon_poison:72
-,sp,d
17003,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:1820,force_strike:0,skill_1:8298,skill_2:3453,skill_3:819,team_buff:0,always_poisoned_poison:0,d_ss:63,d_skill:679,d_autos:1596,s_dragon_poison:271
9960,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1280,force_strike:0,skill_1:4033,skill_2:1850,skill_3:556,team_buff:0,d_ss:14,d_skill:646,d_autos:1517,s_dragon_poison:61
-,sp,kd
18704,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:2003,force_strike:0,skill_1:9128,skill_2:3798,skill_3:901,team_buff:0,always_poisoned_poison:0,d_ss:70,d_skill:747,d_autos:1755,s_dragon_poison:298
10956,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1408,force_strike:0,skill_1:4436,skill_2:2035,skill_3:612,team_buff:0,d_ss:15,d_skill:710,d_autos:1669,s_dragon_poison:67
-,sp,b
16939,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:1629,force_strike:0,skill_1:8308,skill_2:3781,skill_3:769,team_buff:0,always_poisoned_poison:0,d_ss:59,d_skill:638,d_autos:1498,s_dragon_poison:255
9743,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1145,force_strike:0,skill_1:4006,skill_2:1974,skill_3:520,team_buff:0,d_ss:13,d_skill:604,d_autos:1419,s_dragon_poison:57
-,sp,kb
18633,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:1792,force_strike:0,skill_1:9138,skill_2:4159,skill_3:846,team_buff:0,always_poisoned_poison:0,d_ss:65,d_skill:701,d_autos:1648,s_dragon_poison:280
10718,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1260,force_strike:0,skill_1:4407,skill_2:2172,skill_3:572,team_buff:0,d_ss:14,d_skill:665,d_autos:1561,s_dragon_poison:63
-,sp,rd
19032,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:1820,force_strike:0,skill_1:9543,skill_2:3971,skill_3:942,team_buff:0,always_poisoned_poison:0,d_ss:63,d_skill:781,d_autos:1596,s_dragon_poison:312
11032,_c_Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],!<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 17% poison uptime,attack:1280,force_strike:0,skill_1:4637,skill_2:2127,skill_3:640,team_buff:0,d_ss:14,d_skill:743,d_autos:1517,s_dragon_poison:70
-,sp,krd
20935,Lathna,5*,shadow,lance,3820,[Resounding_Rendition+The_Plaguebringer][Shinobi],<hp70 & always poisoned>,get 10% dragon charge from enemy every 18s;; 99% poison uptime,attack:2003,force_strike:0,skill_1:10497,skill_2:4368,skill_3:1037,team_buff:0,always_poisoned_poison:0,d_ss:70,d_skill:859,d_autos:1755,s_dragon_poison:343
