-,60,_
6110,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1069,force_strike:255,skill_1:1890,skill_2:1016,skill_3:942,team_buff:244,s1_burn:595,s3_energized:97
4899,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1174,force_strike:0,skill_1:1699,skill_2:914,skill_3:847,team_buff:263,s1_burn:0
-,60,k
6721,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1175,force_strike:280,skill_1:2079,skill_2:1118,skill_3:1036,team_buff:269,s1_burn:654,s3_energized:107
5389,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1292,force_strike:0,skill_1:1869,skill_2:1005,skill_3:932,team_buff:289,s1_burn:0
-,60,r
6811,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1069,force_strike:255,skill_1:2173,skill_2:1169,skill_3:1083,team_buff:264,s1_burn:684,s3_energized:112
5439,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1174,force_strike:0,skill_1:1954,skill_2:1051,skill_3:974,team_buff:284,s1_burn:0
-,60,kr
7492,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1175,force_strike:280,skill_1:2391,skill_2:1286,skill_3:1191,team_buff:290,s1_burn:752,s3_energized:123
5983,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1292,force_strike:0,skill_1:2150,skill_2:1156,skill_3:1071,team_buff:312,s1_burn:0
-,60,d
6497,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1136,force_strike:271,skill_1:2009,skill_2:1080,skill_3:1001,team_buff:261,s1_burn:632,s3_energized:103
5209,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1248,force_strike:0,skill_1:1806,skill_2:971,skill_3:900,team_buff:281,s1_burn:0
-,60,kd
7146,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1249,force_strike:298,skill_1:2210,skill_2:1188,skill_3:1101,team_buff:287,s1_burn:695,s3_energized:114
5730,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1373,force_strike:0,skill_1:1987,skill_2:1069,skill_3:990,team_buff:309,s1_burn:0
-,60,b
6110,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1069,force_strike:255,skill_1:1890,skill_2:1016,skill_3:942,team_buff:244,s1_burn:595,s3_energized:97
4899,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1174,force_strike:0,skill_1:1699,skill_2:914,skill_3:847,team_buff:263,s1_burn:0
-,60,kb
6721,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1175,force_strike:280,skill_1:2079,skill_2:1118,skill_3:1036,team_buff:269,s1_burn:654,s3_energized:107
5389,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1292,force_strike:0,skill_1:1869,skill_2:1005,skill_3:932,team_buff:289,s1_burn:0
-,60,rd
7242,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1136,force_strike:271,skill_1:2310,skill_2:1242,skill_3:1151,team_buff:282,s1_burn:727,s3_energized:119
5784,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1248,force_strike:0,skill_1:2077,skill_2:1117,skill_3:1035,team_buff:304,s1_burn:0
-,60,krd
7966,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1249,force_strike:298,skill_1:2541,skill_2:1367,skill_3:1267,team_buff:310,s1_burn:800,s3_energized:131
6362,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1373,force_strike:0,skill_1:2285,skill_2:1229,skill_3:1139,team_buff:334,s1_burn:0
-,60,rb
6811,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1069,force_strike:255,skill_1:2173,skill_2:1169,skill_3:1083,team_buff:264,s1_burn:684,s3_energized:112
5439,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1174,force_strike:0,skill_1:1954,skill_2:1051,skill_3:974,team_buff:284,s1_burn:0
-,60,krb
7492,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1175,force_strike:280,skill_1:2391,skill_2:1286,skill_3:1191,team_buff:290,s1_burn:752,s3_energized:123
5983,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1292,force_strike:0,skill_1:2150,skill_2:1156,skill_3:1071,team_buff:312,s1_burn:0
-,60,db
6497,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1136,force_strike:271,skill_1:2009,skill_2:1080,skill_3:1001,team_buff:261,s1_burn:632,s3_energized:103
5209,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1248,force_strike:0,skill_1:1806,skill_2:971,skill_3:900,team_buff:281,s1_burn:0
-,60,kdb
7146,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1249,force_strike:298,skill_1:2210,skill_2:1188,skill_3:1101,team_buff:287,s1_burn:695,s3_energized:114
5730,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1373,force_strike:0,skill_1:1987,skill_2:1069,skill_3:990,team_buff:309,s1_burn:0
-,60,rdb
7242,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1136,force_strike:271,skill_1:2310,skill_2:1242,skill_3:1151,team_buff:282,s1_burn:727,s3_energized:119
5784,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1248,force_strike:0,skill_1:2077,skill_2:1117,skill_3:1035,team_buff:304,s1_burn:0
-,60,krdb
7966,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1249,force_strike:298,skill_1:2541,skill_2:1367,skill_3:1267,team_buff:310,s1_burn:800,s3_energized:131
6362,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1373,force_strike:0,skill_1:2285,skill_2:1229,skill_3:1139,team_buff:334,s1_burn:0
-,120,_
6579,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1078,force_strike:301,skill_1:2161,skill_2:1056,skill_3:1003,team_buff:288,s1_burn:583,s3_energized:106
5148,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1160,force_strike:0,skill_1:1884,skill_2:924,skill_3:877,team_buff:301,s1_burn:0
-,120,k
7237,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1185,force_strike:331,skill_1:2377,skill_2:1162,skill_3:1103,team_buff:317,s1_burn:642,s3_energized:117
5663,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1276,force_strike:0,skill_1:2072,skill_2:1017,skill_3:965,team_buff:331,s1_burn:0
-,120,r
7339,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1078,force_strike:301,skill_1:2485,skill_2:1214,skill_3:1153,team_buff:311,s1_burn:671,s3_energized:122
5725,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1160,force_strike:0,skill_1:2166,skill_2:1063,skill_3:1008,team_buff:325,s1_burn:0
-,120,kr
8072,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1185,force_strike:331,skill_1:2733,skill_2:1336,skill_3:1269,team_buff:342,s1_burn:738,s3_energized:134
6297,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1276,force_strike:0,skill_1:2383,skill_2:1169,skill_3:1109,team_buff:358,s1_burn:0
-,120,d
6995,V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1145,force_strike:320,skill_1:2297,skill_2:1122,skill_3:1066,team_buff:308,s1_burn:620,s3_energized:113
5474,_c_V_Ezelith,4*,flame,bow,3923,[Forest_Bonds+Dear_Diary][Sakuya],!<never lose combos & 0 resist & RO proc at 0s 60s 120s & c4+fs>,,attack:1233,force_strike:0,skill_1:2002,skill_2:982,skill_3:932,team_buff:322,s1_burn:0
-,120,kd
