-,60,_
7991,Fjorm,5*,water,lance,3883,[Resounding_Rendition+Beautiful_Nothingness][Siren][HDT2],<hp70 & reflect 500 damage on every s2>,,attack:1267,force_strike:34,skill_1:2344,skill_2:1815,skill_3:969,team_buff:1195,s2_reflect:365
6831,_c_Fjorm,5*,water,lance,3883,[Resounding_Rendition+Beautiful_Nothingness][Siren][HDT2],!<hp70 & reflect 500 damage on every s2>,,attack:1110,force_strike:30,skill_1:2054,skill_2:1590,skill_3:849,team_buff:1195
-,60,k
8671,Fjorm,5*,water,lance,3883,[Resounding_Rendition+Beautiful_Nothingness][Siren][HDT2],<hp70 & reflect 500 damage on every s2>,,attack:1394,force_strike:38,skill_1:2578,skill_2:1996,skill_3:1066,team_buff:1195,s2_reflect:401
7394,_c_Fjorm,5*,water,lance,3883,[Resounding_Rendition+Beautiful_Nothingness][Siren][HDT2],!<hp70 & reflect 500 damage on every s2>,,attack:1221,force_strike:33,skill_1:2259,skill_2:1749,skill_3:934,team_buff:1195
-,60,r
8816,Fjorm,5*,water,lance,3883,[Resounding_Rendition+Beautiful_Nothingness][Siren][HDT2],<hp70 & reflect 500 damage on every s2>,,attack:1267,force_strike:34,skill_1:2695,skill_2:2087,skill_3:1115,team_buff:1195,s2_reflect:419
7505,_c_Fjorm,5*,water,lance,3883,[Resounding_Rendition+Beautiful_Nothingness][Siren][HDT2],!<hp70 & reflect 500 damage on every s2>,,attack:1110,force_strike:30,skill_1:2362,skill_2:1829,skill_3:977,team_buff:1195
-,60,kr
9578,Fjorm,5*,water,lance,3883,[Resounding_Rendition+Beautiful_Nothingness][Siren][HDT2],<hp70 & reflect 500 damage on every s2>,,attack:1394,force_strike:38,skill_1:2965,skill_2:2296,skill_3:1226,team_buff:1195,s2_reflect:461
8136,_c_Fjorm,5*,water,lance,3883,[Resounding_Rendition+Beautiful_Nothingness][Siren][HDT2],!<hp70 & reflect 500 damage on every s2>,,attack:1221,force_strike:33,skill_1:2598,skill_2:2012,skill_3:1075,team_buff:1195
-,60,d
