-,sp,_
8667,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1073,force_strike:493,skill_1:2255,skill_2:1118,skill_3:908,team_buff:0,team_energy:125,s3_energized:30,s2_energized:57,dx:1769,ds:834
8010,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:990,force_strike:455,skill_1:2082,skill_2:1032,skill_3:838,team_buff:0,team_energy:125,s3_energized:28,s2_energized:53,dx:1633,ds:770
-,sp,k
9521,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1180,force_strike:543,skill_1:2481,skill_2:1230,skill_3:999,team_buff:0,team_energy:125,s3_energized:33,s2_energized:63,dx:1946,ds:918
8799,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:1089,force_strike:501,skill_1:2290,skill_2:1135,skill_3:922,team_buff:0,team_energy:125,s3_energized:30,s2_energized:58,dx:1796,ds:847
-,sp,r
9448,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1073,force_strike:493,skill_1:2594,skill_2:1286,skill_3:1044,team_buff:0,team_energy:125,s3_energized:35,s2_energized:66,dx:1769,ds:960
8731,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:990,force_strike:455,skill_1:2394,skill_2:1187,skill_3:964,team_buff:0,team_energy:125,s3_energized:32,s2_energized:61,dx:1633,ds:886
-,sp,kr
10380,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1180,force_strike:543,skill_1:2853,skill_2:1414,skill_3:1149,team_buff:0,team_energy:125,s3_energized:38,s2_energized:73,dx:1946,ds:1056
9592,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:1089,force_strike:501,skill_1:2634,skill_2:1306,skill_3:1061,team_buff:0,team_energy:125,s3_energized:35,s2_energized:67,dx:1796,ds:974
-,sp,d
9208,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1145,force_strike:526,skill_1:2406,skill_2:1193,skill_3:969,team_buff:0,team_energy:125,s3_energized:32,s2_energized:61,dx:1867,ds:881
8010,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:990,force_strike:455,skill_1:2082,skill_2:1032,skill_3:838,team_buff:0,team_energy:125,s3_energized:28,s2_energized:53,dx:1633,ds:770
-,sp,kd
10117,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1259,force_strike:579,skill_1:2646,skill_2:1312,skill_3:1066,team_buff:0,team_energy:125,s3_energized:35,s2_energized:67,dx:2054,ds:969
8799,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:1089,force_strike:501,skill_1:2290,skill_2:1135,skill_3:922,team_buff:0,team_energy:125,s3_energized:30,s2_energized:58,dx:1796,ds:847
-,sp,rd
10040,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1145,force_strike:526,skill_1:2767,skill_2:1372,skill_3:1114,team_buff:0,team_energy:125,s3_energized:37,s2_energized:70,dx:1867,ds:1013
8731,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:990,force_strike:455,skill_1:2394,skill_2:1187,skill_3:964,team_buff:0,team_energy:125,s3_energized:32,s2_energized:61,dx:1633,ds:886
-,sp,krd
11031,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1259,force_strike:579,skill_1:3043,skill_2:1509,skill_3:1226,team_buff:0,team_energy:125,s3_energized:41,s2_energized:77,dx:2054,ds:1114
9592,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:1089,force_strike:501,skill_1:2634,skill_2:1306,skill_3:1061,team_buff:0,team_energy:125,s3_energized:35,s2_energized:67,dx:1796,ds:974
-,sp,b
8664,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1113,force_strike:341,skill_1:2389,skill_2:1112,skill_3:904,team_buff:0,team_energy:125,s3_energized:30,s2_energized:57,dx:1760,ds:830
8010,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:990,force_strike:455,skill_1:2082,skill_2:1032,skill_3:838,team_buff:0,team_energy:125,s3_energized:28,s2_energized:53,dx:1633,ds:770
-,sp,kb
9518,Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],<hp70>,,attack:1224,force_strike:375,skill_1:2628,skill_2:1224,skill_3:994,team_buff:0,team_energy:125,s3_energized:33,s2_energized:63,dx:1936,ds:913
8799,_c_Audric,4*,shadow,sword,3682,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi][HDT2],!<hp70>,,attack:1089,force_strike:501,skill_1:2290,skill_2:1135,skill_3:922,team_buff:0,team_energy:125,s3_energized:30,s2_energized:58,dx:1796,ds:847
-,sp,rb
