-,sp,_
14071,Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],<energy & hit15 & hp=1>,s2 without str buff,attack:2781,force_strike:63,skill_1:4427,skill_2:0,skill_3:1744,team_buff:0,s1_crisis:4427,s1_crisis_energized:335,s1_energized:119,s3_energized:172
7889,_c_Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],!<energy & hit15 & hp=1>,s2 without str buff,attack:2433,force_strike:55,skill_1:3874,skill_2:0,skill_3:1526,team_buff:0,s1_crisis:0
-,sp,k
14071,Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],<energy & hit15 & hp=1>,s2 without str buff,attack:2781,force_strike:63,skill_1:4427,skill_2:0,skill_3:1744,team_buff:0,s1_crisis:4427,s1_crisis_energized:335,s1_energized:119,s3_energized:172
7889,_c_Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],!<energy & hit15 & hp=1>,s2 without str buff,attack:2433,force_strike:55,skill_1:3874,skill_2:0,skill_3:1526,team_buff:0,s1_crisis:0
-,sp,r
15695,Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],<energy & hit15 & hp=1>,s2 without str buff,attack:2781,force_strike:63,skill_1:5091,skill_2:0,skill_3:2005,team_buff:0,s1_crisis:5091,s1_crisis_energized:394,s1_energized:137,s3_energized:128
8699,_c_Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],!<energy & hit15 & hp=1>,s2 without str buff,attack:2433,force_strike:55,skill_1:4455,skill_2:0,skill_3:1754,team_buff:0,s1_crisis:0
-,sp,kr
15695,Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],<energy & hit15 & hp=1>,s2 without str buff,attack:2781,force_strike:63,skill_1:5091,skill_2:0,skill_3:2005,team_buff:0,s1_crisis:5091,s1_crisis_energized:394,s1_energized:137,s3_energized:128
8699,_c_Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],!<energy & hit15 & hp=1>,s2 without str buff,attack:2433,force_strike:55,skill_1:4455,skill_2:0,skill_3:1754,team_buff:0,s1_crisis:0
-,sp,d
15042,Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],<energy & hit15 & hp=1>,s2 without str buff,attack:2973,force_strike:67,skill_1:4733,skill_2:0,skill_3:1864,team_buff:0,s1_crisis:4733,s1_energized:127,s1_crisis_energized:358,s3_energized:183
8434,_c_Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],!<energy & hit15 & hp=1>,s2 without str buff,attack:2601,force_strike:58,skill_1:4141,skill_2:0,skill_3:1631,team_buff:0,s1_crisis:0
-,sp,kd
15042,Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],<energy & hit15 & hp=1>,s2 without str buff,attack:2973,force_strike:67,skill_1:4733,skill_2:0,skill_3:1864,team_buff:0,s1_crisis:4733,s1_energized:127,s1_crisis_energized:358,s3_energized:183
8434,_c_Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],!<energy & hit15 & hp=1>,s2 without str buff,attack:2601,force_strike:58,skill_1:4141,skill_2:0,skill_3:1631,team_buff:0,s1_crisis:0
-,sp,b
15030,Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],<energy & hit15 & hp=1>,s2 without str buff,attack:2770,force_strike:0,skill_1:4825,skill_2:0,skill_3:1972,team_buff:0,s1_crisis:4825,s1_energized:119,s1_crisis_energized:350,s3_energized:164
8373,_c_Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],!<energy & hit15 & hp=1>,s2 without str buff,attack:2424,force_strike:0,skill_1:4222,skill_2:0,skill_3:1725,team_buff:0,s1_crisis:0
-,sp,kb
15030,Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],<energy & hit15 & hp=1>,s2 without str buff,attack:2770,force_strike:0,skill_1:4825,skill_2:0,skill_3:1972,team_buff:0,s1_crisis:4825,s1_energized:119,s1_crisis_energized:350,s3_energized:164
8373,_c_Natalie,5*,shadow,blade,3953,[Heralds_of_Hinomoto+Flash_of_Genius][Shinobi],!<energy & hit15 & hp=1>,s2 without str buff,attack:2424,force_strike:0,skill_1:4222,skill_2:0,skill_3:1725,team_buff:0,s1_crisis:0
-,sp,rd
